ticker,location,corporate_viability,avg_roe,avg_rotc,avg_npm,avg_current_ratio,avg_debt_ebit,avg_div_payout_ratio,avg_eps_reps
EBF,TX,1,0.199656009,0.174296769,0.126212957,3.872733449,0.728726393,0.359772356,0.190213778
MMM,MN,0.818181818,0.497535257,0.290652382,0.216311434,1.931088773,1.304816321,0.454814673,0.141229814
BR,TX,0.75,0.449620728,0.234188379,0.147111214,1.452975319,2.025418128,0.438633998,0.246394378
BR,NY,0.75,0.449620728,0.234188379,0.147111214,1.452975319,2.025418128,0.438633998,0.246394378
MCD,IL,0.666666667,-0.038730892,0.264897499,0.278547285,1.657300966,2.325596546,0.540131299,0.13227768
XLNX,CA,0.666666667,0.260855852,0.165629242,0.28978418,4.358920359,2.145004818,0.528571064,0.323131313
HRB,MO,0.666666667,2.910961593,0.353561147,0.223804871,1.53877049,1.730909874,0.45819257,0.560743952
RTN,MA,0.666666667,0.284296325,0.193278893,0.12233238,1.556761712,1.652618854,0.387853115,0.128559436
KLAC,CA,0.666666667,0.790446659,0.230177327,0.279010333,3.546291768,3.100366726,1.76404769,-3.902789042
ACN,Unknown,0.636363636,0.691064713,0.689587408,0.134883956,1.398749547,0.003520885,0.380292872,0.386624818
JNJ,NJ,0.636363636,0.281052038,0.210685094,0.244095902,1.97481015,1.228735785,1.096147858,0.142918526
AMAT,CA,0.6,0.13921976,0.114659776,0.109333202,2.488899511,0.812629467,0.512552596,0.063400651
MKC,MD,0.6,0.292034226,0.159080395,0.129401985,1.09326449,3.389775772,0.425610946,0.453783233
BFB,KY,0.6,0.566235681,0.307541424,0.286147528,3.223059082,1.428101084,0.59664326,0.243363135
TXN,TX,0.555555556,0.415141449,0.300933848,0.304169797,3.012766294,1.226338196,0.435582006,0.101126021
INTC,CA,0.545454545,0.261094238,0.213547554,0.272075849,2.274528734,0.914785407,0.438820483,0.301676852
MSM,NY,0.5,0.29550912,0.235238358,0.136657701,3.001532804,0.946471069,0.390490161,0.227724131
TIF,NY,0.5,0.22773206,0.168943301,0.160204057,5.080300896,1.704320026,0.471992286,0.232034122
SBUX,WA,0.5,1.092759132,0.460630273,0.173283363,1.216601674,1.593536964,0.355473402,0.676923665
IPAR,NY,0.5,0.143224187,0.130804021,0.127050373,3.366340199,0.716280785,0.470379716,0.097924934
ROK,WI,0.5,0.671784295,0.301761049,0.160427714,2.102138871,1.460154926,0.458417993,0.148550139
CL,NY,0.454545455,18.16938309,0.507029841,0.216032986,1.188987926,1.540411223,0.618833809,0.131050961
ITW,IL,0.454545455,0.434690092,0.200344713,0.178153875,2.127387671,2.225489038,0.402766558,0.135356751
MAT,CA,0.454545455,0.122628778,0.119656197,0.079787878,2.345633635,0.895710085,0.682133956,0.078256914
MSFT,WA,0.454545455,0.392771609,0.287284738,0.32524806,2.505341553,1.226925222,0.438463762,3.489954746
LLY,IN,0.454545455,0.286482618,0.184818234,0.170969485,1.525797684,1.366306424,1.582944955,0.193134538
