ticker,company_name,location
A,Agilent Technologies Inc,CA
AA,Alcoa Inc,PA
AAACU,Asia Automotive Acquisition Corp,DE
AABB,Asia Broadband Inc,GA
AABC,Access Anytime Bancorp Inc,NM
AAC,Sinocoking Coal & Coke Chemical Industries Inc,F4
AACC,Asset Acceptance Capital Corp,MI
AACE,Ace Cash Express Inc,TX
AAGC,All American Gold Corp,IN
AAI,Airtran Holdings Inc,FL
AAIIQ,Aaipharma Inc,NC
AAIR,Avantair Inc,FL
AAL,American Airlines Group Inc,TX
AAMC,American Asset Management Corp,NJ
AAMC,Altisource Asset Management Corp,VI
AAME,Atlantic American Corp,GA
AAML,Adera Mines LTD,A1
AAMU,American Ammunition Inc,FL
AAN,Aarons Inc,GA
AANB,Abigail Adams National Bancorp Inc,DC
AANI,Amedia Networks Inc,NJ
AAOI,Applied Optoelectronics Inc,TX
AAON,Aaon Inc,OK
AAOR,Healthcare Providers Direct Inc,A1
AAP,Advance Auto Parts Inc,VA
AAPH,American Petro-hunter Inc,AZ
AAPL,Apple Inc,CA
AAPT,All American Pet Company Inc,CA
AARI,Patriot Minefinders Inc,A1
AARS,Asia Atlantic Resources,FL
AASP,All American Sportpark Inc,NV
AASR,Ushealth Group Inc,TX
AAT,American Assets Trust Inc,CA
AATI,Advanced Analogic Technologies Inc,CA
AAUI,Andina Group Inc,UT
AAVG,Avstar Aviation Group Inc,TX
AAXT,Aamaxan Transport Group Inc,A6
AB,Cannon Express Inc,AR
AB,Alliancebernstein Holding LP,NY
ABAT,Advanced Battery Technologies Inc,NY
ABAX,Abaxis Inc,CA
ABBB,Auburn Bancorp Inc,ME
ABBC,Abington Community Bancorp Inc,PA
ABBC,Abington Bancorp Inc,PA
ABBK,Abington Bancorp Inc,MA
ABBV,Abbvie Inc,IL
ABC,Amerisourcebergen Corp,PA
ABCB,Ameris Bancorp,GA
ABCC,Wherevertv Broadcasting Corp,PA
ABCD,Cambium Learning Group Inc,TX
ABCO,Advisory Board Co,DC
ABCP,Ambase Corp,CT
ABCR,Varca Ventures Inc,A0
ABCR,Abc Records Management & Data Storage Inc,F4
ABCW,Anchor Bancorp Wisconsin Inc,WI
ABDV,Atlantis Technology Group,FL
ABER,Dominion Diamond Corp,A6
ABEW,Airbee Wireless Inc,MD
ABF,Airborne Inc,WA
ABFI,American Business Financial Services Inc,PA
ABFS,Arkansas Best Corp,AR
