ticker,company_name,location,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid,ROE,ROTC,NPM,CURRENT_RATIO,DEBT_EBIT,DIV_PAYOUT_RATIO,EPS,REPS
A,Agilent Technologies Inc,CA,2009,346000000.0,4481000000.0,7000000,-31000000,3961000000.0,7612000000.0,1000000.0,1123000000.0,2904000000.0,5098000000.0,2760000000.0,408000000,0.0,0.0027844073190135244,0.0012917512456172725,0.0015621513055121626,3.527159394479074,415.0,0.0,-0.08959537572254335,7.976878612716763
A,Agilent Technologies Inc,CA,2010,347000000.0,5444000000.0,692000000,684000000,6169000000.0,9696000000.0,1501000000.0,3083000000.0,2190000000.0,6460000000.0,3444000000.0,718000000,0.0,0.2138442521631644,0.09989894615273567,0.12711241734019105,2.000973078170613,5.333815028901734,0.0,1.9711815561959654,9.92507204610951
A,Agilent Technologies Inc,CA,2011,347000000.0,6615000000.0,1032000000,1012000000,5569000000.0,9057000000.0,253000000.0,1837000000.0,1932000000.0,4741000000.0,4456000000.0,1260000000,0.0,0.2391102873030584,0.1587448084910014,0.15600907029478459,3.03157321720196,2.117248062015504,0.0,2.9164265129683,12.84149855907781
A,Agilent Technologies Inc,CA,2012,348000000.0,6858000000.0,1043000000,1153000000,4629000000.0,10536000000.0,250000000.0,1893000000.0,2112000000.0,5351000000.0,5505000000.0,1228000000,-104000000.0,0.20115718418514947,0.13820060951371405,0.1520851560221639,2.445324881141046,2.264621284755513,0.09019947961838681,3.3132183908045976,15.818965517241379
A,Agilent Technologies Inc,CA,2016,326000000.0,4202000000.0,544000000,462000000,3635000000.0,7794000000.0,0.0,945000000.0,1904000000.0,3548000000.0,6089000000.0,793000000,-150000000.0,0.1281205840791333,0.08845528455284553,0.12946216087577345,3.8465608465608465,3.5,0.3246753246753247,1.4171779141104295,18.677914110429448
A,Agilent Technologies Inc,CA,2017,322000000.0,4472000000.0,803000000,684000000,4169000000.0,8426000000.0,210000000.0,1263000000.0,1801000000.0,3591000000.0,-126000000.0,889000000,-170000000.0,0.16608066184074458,0.1172947706690038,0.17956171735241502,3.3008709422011084,2.5043586550435863,0.24853801169590642,2.124223602484472,-0.391304347826087
A,Agilent Technologies Inc,CA,2018,321000000.0,4914000000.0,946000000,316000000,3848000000.0,8541000000.0,0.0,1171000000.0,1799000000.0,3970000000.0,-336000000.0,1087000000,-191000000.0,0.20695690220958216,0.14850863422291993,0.1925111925111925,3.286080273270709,1.9016913319238902,0.6044303797468354,0.9844236760124611,-1.0467289719626167
AA,Alcoa Inc,PA,2016,183000000.0,9318000000.0,-162000000,-400000000,3181000000.0,16741000000.0,21000000.0,2821000000.0,1424000000.0,9044000000.0,-104000000.0,-311000000,0.0,-0.021047161231648695,-0.0177204112885583,-0.017385705086928525,1.1276143211627083,-8.919753086419753,0.0,-2.185792349726776,-0.5683060109289617
AA,Alcoa Inc,PA,2017,184000000.0,11652000000.0,1159000000,217000000,4238000000.0,17447000000.0,16000000.0,3252000000.0,1388000000.0,10649000000.0,113000000.0,1224000000,0.0,0.17049132097675787,0.14130699829309926,0.09946790250600755,1.3031980319803198,1.2113891285591027,0.0,1.1793478260869565,0.6141304347826086
AA,Alcoa Inc,PA,2018,186000000.0,13403000000.0,1597000000,227000000,4134000000.0,15938000000.0,1000000.0,2919000000.0,1801000000.0,8544000000.0,341000000.0,448000000,0.0,0.21598593454152015,0.1736624619399739,0.11915242856076998,1.4162384378211716,1.1283656856606137,0.0,1.2204301075268817,1.8333333333333333
AAC,Sinocoking Coal & Coke Chemical Industries Inc,Unknown,2016,22718117.0,279770000.0,-24025000,-21218000,96479000.0,383884000.0,9445000.0,45342000.0,179661000.0,229096000.0,19119000.0,143000,0.0,-0.1552122903584257,-0.06986164341337738,-0.08587411087679166,2.1278064487671475,-7.871217481789802,0.0,-0.933968250977843,0.8415750301840597
AAL,American Airlines Group Inc,TX,2009,294000000.0,19917000000.0,-1752000000,-1468000000,6642000000.0,25438000000.0,1024000000.0,7638000000.0,10673000000.0,28927000000.0,-5136000000.0,930000000,0.0,0.5021496130696474,-0.2134502923976608,-0.08796505497815936,0.8695993715632364,-6.676369863013699,0.0,-4.993197278911564,-17.46938775510204
AAL,American Airlines Group Inc,TX,2010,333000000.0,22170000000.0,-506000000,-471000000,6838000000.0,25088000000.0,1776000000.0,8673000000.0,9360000000.0,29033000000.0,-5607000000.0,1241000000,0.0,0.1282636248415716,-0.07036573494646085,-0.022823635543527288,0.7884238441139167,-22.007905138339922,0.0,-1.4144144144144144,-16.83783783783784
AAL,American Airlines Group Inc,TX,2011,124985000.0,23979000000.0,-1979000000,-1979000000,6757000000.0,23848000000.0,1518000000.0,8630000000.0,6702000000.0,30959000000.0,-7586000000.0,743000000,0.0,0.2783012234566165,-1.7844905320108206,-0.08253054756245047,0.7829663962920046,-4.153612935826175,0.0,-15.83390006800816,-60.69528343401208
AAL,American Airlines Group Inc,TX,2012,249490000.0,24855000000.0,-2445000000,-1876000000,7072000000.0,23510000000.0,1419000000.0,9011000000.0,7116000000.0,31497000000.0,-9462000000.0,1285000000,0.0,0.30612244897959184,-4.461678832116788,-0.09837054918527459,0.7848185550993231,-3.4907975460122698,0.0,-7.519339452483066,-37.92536775021043
AAL,American Airlines Group Inc,TX,2013,280213000.0,26743000000.0,-2180000000,-1834000000,14323000000.0,42278000000.0,1446000000.0,13806000000.0,15353000000.0,45009000000.0,-11296000000.0,675000000,0.0,0.798242402050531,-0.15496161501279498,-0.0815166585648581,1.037447486600029,-7.705963302752294,0.0,-6.545021108942126,-40.3121910832117
AAL,American Airlines Group Inc,TX,2014,717456000.0,42650000000.0,3212000000,2882000000,11750000000.0,43225000000.0,1677000000.0,13404000000.0,16043000000.0,41204000000.0,-8562000000.0,3080000000,-144000000.0,1.5893122216724394,0.1627070563801226,0.07531066822977725,0.8766039988063264,5.516811955168119,0.04996530187369882,4.016971075578154,-11.933832876162441
AAL,American Airlines Group Inc,TX,2015,668393000.0,40990000000.0,4616000000,7610000000,9985000000.0,48415000000.0,2231000000.0,13605000000.0,18330000000.0,42780000000.0,-1230000000.0,6249000000,-278000000.0,0.8191659272404614,0.17621010841349824,0.11261283239814589,0.7339213524439544,4.454289428076256,0.036530880420499345,11.385517203202308,-1.8402347122127252
AAL,American Airlines Group Inc,TX,2016,552308000.0,40180000000.0,4299000000,2676000000,10324000000.0,51274000000.0,1855000000.0,13872000000.0,22489000000.0,47489000000.0,1640000000.0,6524000000,-224000000.0,1.1357992073976222,0.15283159728394183,0.10699352911896466,0.744232987312572,5.662712258664806,0.08370702541106129,4.845122648956742,2.969357677238063
AAL,American Airlines Group Inc,TX,2017,489164000.0,42207000000.0,3084000000,1919000000,9146000000.0,52785000000.0,2554000000.0,15358000000.0,22511000000.0,53565000000.0,-1345000000.0,4744000000,-198000000.0,-3.953846153846154,0.1269919703520692,0.07306844836164617,0.5955202500325564,8.127431906614786,0.10317873892652424,3.92301968256045,-2.7495890948638904
AAL,American Airlines Group Inc,TX,2018,464236000.0,44541000000.0,1884000000,1412000000,8637000000.0,60580000000.0,3294000000.0,18096000000.0,21179000000.0,60749000000.0,136000000.0,3533000000,-186000000.0,-11.14792899408284,0.07751810401579987,0.042298107361756584,0.47728779840848806,12.989915074309978,0.13172804532577903,3.0415564497367718,0.29295444558371175
AAOI,Applied Optoelectronics Inc,TX,2012,265576.0,63421000.0,-945000,-945000,39246000.0,65748000.0,13900000.0,25577000.0,9163000.0,34740000.0,-81917000.0,-358000,0.0,-0.030476006191950466,-0.017477020953930944,-0.014900427303259172,1.5344254603745553,-24.405291005291005,0.0,-3.5583034611561284,-308.4503117751604
AAOI,Applied Optoelectronics Inc,TX,2013,9964955.0,78424000.0,-1406000,-1406000,77936000.0,111057000.0,17185000.0,39057000.0,8923000.0,47980000.0,-83323000.0,-6190000,0.0,-0.022290216719247902,-0.015764982900712002,-0.017928185249413444,1.9954425583122104,-18.568990042674255,0.0,-0.14109446555453586,-8.361603238549497
AAOI,Applied Optoelectronics Inc,TX,2014,14307477.0,130449000.0,4482000,4283000,113239000.0,183670000.0,9591000.0,48601000.0,19057000.0,68658000.0,-79040000.0,8530000,0.0,0.03896984662470003,0.0311986635110678,0.03435825495021043,2.329972634307936,6.391789379741187,0.0,0.29935396715996815,-5.524384208340855
AAOI,Applied Optoelectronics Inc,TX,2015,15626753.0,189903000.0,11168000,10793000,153928000.0,273475000.0,30908000.0,74080000.0,33997000.0,108077000.0,-68247000.0,-15212000,0.0,0.06752197729114016,0.048492637959557626,0.058808970895667785,2.0778617710583154,5.8116941260744985,0.0,0.690674511845167,-4.367318021856492
AAOI,Applied Optoelectronics Inc,TX,2016,17201731.0,260713000.0,21003000,31234000,157552000.0,322318000.0,7865000.0,59973000.0,34961000.0,94934000.0,-37013000.0,57104000,0.0,0.09236797663863772,0.07772843344065726,0.0805598493362433,2.6270488386440567,2.039042041613103,0.0,1.815747496574618,-2.1517020583568014
AAOI,Applied Optoelectronics Inc,TX,2017,19097355.0,382329000.0,84526000,73951000,229697000.0,452984000.0,559000.0,70708000.0,49000000.0,119708000.0,38138000.0,84284000,0.0,0.2536216229191421,0.22078963522144004,0.22108184312463872,3.248529162188154,0.5863166363012564,0.0,3.8723163495677806,1.997030478828089
