ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid
A,2008,363000000,5774000000,815000000,693000000,3182000000,7007000000,,1330000000,2125000000,4448000000,2791000000,756000000,
A,2009,346000000,4481000000,7000000,-31000000,3961000000,7612000000,1000000,1123000000,2904000000,5098000000,2760000000,408000000,
A,2010,347000000,5444000000,692000000,684000000,6169000000,9696000000,1501000000,3083000000,2190000000,6460000000,3444000000,718000000,0
A,2011,347000000,6615000000,1032000000,1012000000,5569000000,9057000000,253000000,1837000000,1932000000,4741000000,4456000000,1260000000,0
A,2012,348000000,6858000000,1043000000,1153000000,4629000000,10536000000,250000000,1893000000,2112000000,5351000000,5505000000,1228000000,-104000000
A,2013,341000000,3894000000,293000000,734000000,4983000000,10686000000,,1602000000,2699000000,5397000000,6073000000,1152000000,-156000000
A,2014,333000000,4048000000,229000000,549000000,5509000000,10815000000,,1692000000,1663000000,5511000000,6469000000,731000000,-176000000
A,2015,333000000,4038000000,480000000,401000000,3686000000,7479000000,,976000000,1655000000,3309000000,5581000000,512000000,-133000000
A,2016,326000000,4202000000,544000000,462000000,3635000000,7794000000,0,945000000,1904000000,3548000000,6089000000,793000000,-150000000
A,2017,322000000,4472000000,803000000,684000000,4169000000,8426000000,210000000,1263000000,1801000000,3591000000,-126000000,889000000,-170000000
A,2018,321000000,4914000000,946000000,316000000,3848000000,8541000000,0,1171000000,1799000000,3970000000,-336000000,1087000000,-191000000
AA,2015,182471195,11199000000,-337000000,-863000000,2566000000,16413000000,18000000,2404000000,207000000,4900000000,,875000000,
AA,2016,183000000,9318000000,-162000000,-400000000,3181000000,16741000000,21000000,2821000000,1424000000,9044000000,-104000000,-311000000,
AA,2017,184000000,11652000000,1159000000,217000000,4238000000,17447000000,16000000,3252000000,1388000000,10649000000,113000000,1224000000,
AA,2018,186000000,13403000000,1597000000,227000000,4134000000,15938000000,1000000,2919000000,1801000000,8544000000,341000000,448000000,
AAC,2016,22718117,279770000,-24025000,-21218000,96479000,383884000,9445000,45342000,179661000,229096000,19119000,143000,
AAL,2009,294000000,19917000000,-1752000000,-1468000000,6642000000,25438000000,1024000000,7638000000,10673000000,28927000000,-5136000000,930000000,
AAL,2010,333000000,22170000000,-506000000,-471000000,6838000000,25088000000,1776000000,8673000000,9360000000,29033000000,-5607000000,1241000000,
AAL,2011,124985000,23979000000,-1979000000,-1979000000,6757000000,23848000000,1518000000,8630000000,6702000000,30959000000,-7586000000,743000000,
AAL,2012,249490000,24855000000,-2445000000,-1876000000,7072000000,23510000000,1419000000,9011000000,7116000000,31497000000,-9462000000,1285000000,
AAL,2013,280213000,26743000000,-2180000000,-1834000000,14323000000,42278000000,1446000000,13806000000,15353000000,45009000000,-11296000000,675000000,
AAL,2014,717456000,42650000000,3212000000,2882000000,11750000000,43225000000,1677000000,13404000000,16043000000,41204000000,-8562000000,3080000000,-144000000
AAL,2015,668393000,40990000000,4616000000,7610000000,9985000000,48415000000,2231000000,13605000000,18330000000,42780000000,-1230000000,6249000000,-278000000
AAL,2016,552308000,40180000000,4299000000,2676000000,10324000000,51274000000,1855000000,13872000000,22489000000,47489000000,1640000000,6524000000,-224000000
AAL,2017,489164000,42207000000,3084000000,1919000000,9146000000,52785000000,2554000000,15358000000,22511000000,53565000000,-1345000000,4744000000,-198000000
