ticker,fiscal_year,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings
A,2008,3182000000,7007000000,,1330000000,2125000000,4448000000,2791000000
A,2009,3961000000,7612000000,1000000,1123000000,2904000000,5098000000,2760000000
A,2010,6169000000,9696000000,1501000000,3083000000,2190000000,6460000000,3444000000
A,2011,5569000000,9057000000,253000000,1837000000,1932000000,4741000000,4456000000
A,2012,4629000000,10536000000,250000000,1893000000,2112000000,5351000000,5505000000
A,2013,4983000000,10686000000,,1602000000,2699000000,5397000000,6073000000
A,2014,5509000000,10815000000,,1692000000,1663000000,5511000000,6469000000
A,2015,3686000000,7479000000,,976000000,1655000000,3309000000,5581000000
A,2016,3635000000,7794000000,0,945000000,1904000000,3548000000,6089000000
A,2017,4169000000,8426000000,210000000,1263000000,1801000000,3591000000,-126000000
A,2018,3848000000,8541000000,0,1171000000,1799000000,3970000000,-336000000
AA,2015,2566000000,16413000000,18000000,2404000000,207000000,4900000000,
AA,2016,3181000000,16741000000,21000000,2821000000,1424000000,9044000000,-104000000
AA,2017,4238000000,17447000000,16000000,3252000000,1388000000,10649000000,113000000
AA,2018,4134000000,15938000000,1000000,2919000000,1801000000,8544000000,341000000
AAC,2016,96479000,383884000,9445000,45342000,179661000,229096000,19119000
AAL,2009,6642000000,25438000000,1024000000,7638000000,10673000000,28927000000,-5136000000
AAL,2010,6838000000,25088000000,1776000000,8673000000,9360000000,29033000000,-5607000000
AAL,2011,6757000000,23848000000,1518000000,8630000000,6702000000,30959000000,-7586000000
AAL,2012,7072000000,23510000000,1419000000,9011000000,7116000000,31497000000,-9462000000
AAL,2013,14323000000,42278000000,1446000000,13806000000,15353000000,45009000000,-11296000000
AAL,2014,11750000000,43225000000,1677000000,13404000000,16043000000,41204000000,-8562000000
AAL,2015,9985000000,48415000000,2231000000,13605000000,18330000000,42780000000,-1230000000
AAL,2016,10324000000,51274000000,1855000000,13872000000,22489000000,47489000000,1640000000
AAL,2017,9146000000,52785000000,2554000000,15358000000,22511000000,53565000000,-1345000000
AAL,2018,8637000000,60580000000,3294000000,18096000000,21179000000,60749000000,136000000
AAMC,2013,190084000,1405104000,602382000,612137000,,612137000,-5339000
AAMC,2014,707898000,2760698000,1339082000,1361977000,,1361977000,54174000
AAMC,2015,957176000,2518601000,1265968000,1304690000,,1304690000,50678000
AAMC,2016,63784000,65748000,,8687000,,8687000,46145000
AAMC,2017,57391000,60387000,,7736000,,7736000,38970000
AAMC,2018,45905000,49367000,,6771000,,6771000,26558000
AAN,2009,870615000,1321456000,,340954000,55044000,434196000,694689000
AAN,2010,968017000,1502072000,,440652000,41790000,522655000,809084000
AAN,2011,1135889000,1731899000,,556985000,153789000,755345000,918699000
AAN,2012,1178862000,1812929000,,489253000,141528000,676803000,1087032000
AAN,2013,1191541000,1827176000,,499268000,142704000,687213000,1202219000
AAN,2014,1328415000,2456844000,,566172000,606082000,1233323000,1274233000
AAN,2015,1532288000,2698488000,,655891000,606746000,1331870000,1403120000
AAN,2016,1488523000,2615736000,,573882000,497829000,1134138000,1534983000
AAN,2017,1489194000,2692264000,,527402000,368798000,964260000,1819524000
AAN,2018,1537208000,2826692000,,560653000,424752000,1065984000,2005344000
AAOI,2012,39246000,65748000,13900000,25577000,9163000,34740000,-81917000
AAOI,2013,77936000,111057000,17185000,39057000,8923000,47980000,-83323000
AAOI,2014,113239000,183670000,9591000,48601000,19057000,68658000,-79040000
AAOI,2015,153928000,273475000,30908000,74080000,33997000,108077000,-68247000
AAOI,2016,157552000,322318000,7865000,59973000,34961000,94934000,-37013000
AAOI,2017,229697000,452984000,559000,70708000,49000000,119708000,38138000
AAOI,2018,194275000,466840000,23589000,77418000,60328000,137746000,35992000
AAON,2010,91748000,160277000,,36246000,,43538000,116640000
AAON,2011,84387000,178981000,,38687000,,56477000,122406000
AAON,2012,91546000,193493000,,39625000,,55357000,137989000
AAON,2013,113623000,215444000,,36914000,,51338000,163885000
AAON,2014,124940000,226974000,,43719000,,52915000,173843000
AAON,2015,124213000,232854000,,44111000,,53936000,178706000
AAON,2016,140981000,256530000,,40540000,,50632000,205687000
AAON,2017,153727000,296780000,,51577000,,59554000,237016000
AAON,2018,140861000,308197000,,48071000,,60698000,247291000
AAP,2009,1887618000,3072963000,1344000,1466027000,202927000,1790598000,1287268000
AAP,2010,2124271000,3354217000,973000,1848049000,300851000,2314843000,1612927000
AAP,2011,2293820000,3655754000,848000,2187875000,415136000,2807840000,1989629000
AAP,2012,3184200000,4613814000,627000,2559638000,604461000,3403120000,714900000
AAP,2013,3989384000,5564774000,916000,2764785000,1052668000,4048569000,1089112000
AAP,2014,4741040000,7962358000,582000,3654416000,1636311000,5959446000,1565341000
AAP,2015,4940746000,8127701000,598000,3797477000,1206297000,5667053000,2021077000
AAP,2016,5172764000,8315033000,,3676046000,1042949000,5398841000,2462935000
AAP,2017,5426892000,8482301000,,3480097000,1044327000,5067105000,2920096000
AAP,2018,6082454000,9040648000,,3885950000,1045720000,5489835000,3326155000
AAPL,2000,5427000000,6803000000,,1933000000,300000000,2696000000,2285000000
AAPL,2001,5143000000,6021000000,,1518000000,317000000,2101000000,2260000000
AAPL,2002,5388000000,6298000000,,1658000000,316000000,2203000000,2325000000
AAPL,2003,5887000000,6815000000,304000000,2357000000,,2592000000,2394000000
AAPL,2004,7055000000,8050000000,,2651000000,,2974000000,2670000000
AAPL,2005,10300000000,11516000000,,3487000000,,4088000000,3925000000
AAPL,2006,14509000000,17205000000,,6443000000,,7221000000,5607000000
AAPL,2007,21956000000,25347000000,,9280000000,,10815000000,9101000000
AAPL,2008,32311000000,39572000000,,14092000000,,18542000000,13845000000
AAPL,2009,31555000000,47501000000,,11506000000,,15861000000,23353000000
AAPL,2010,41678000000,75183000000,,20722000000,,27392000000,37169000000
AAPL,2011,44988000000,1.16E+11,,27970000000,,39756000000,62841000000
AAPL,2012,57653000000,1.76E+11,,38542000000,0,57854000000,1.01E+11
AAPL,2013,73286000000,2.07E+11,0,43658000000,16960000000,83451000000,1.04E+11
AAPL,2014,68531000000,2.32E+11,6308000000,63448000000,28987000000,1.20E+11,87152000000
AAPL,2015,89378000000,2.90E+11,10999000000,80610000000,53329000000,1.71E+11,92284000000
AAPL,2016,1.07E+11,3.22E+11,11605000000,79006000000,75427000000,1.93E+11,96364000000
AAPL,2017,1.29E+11,3.75E+11,1.09E+11,1.92E+11,6496000000,2.41E+11,98330000000
AAPL,2018,1.31E+11,3.66E+11,20748000000,1.16E+11,93735000000,2.59E+11,70400000000
AAPL,2019,1.63E+11,3.39E+11,16240000000,1.06E+11,91807000000,2.48E+11,45898000000
