ticker,fiscal_year,cash_operating_activities,dividends_paid
A,2008,756000000,
A,2009,408000000,
A,2010,718000000,0
A,2011,1260000000,0
A,2012,1228000000,-104000000
A,2013,1152000000,-156000000
A,2014,731000000,-176000000
A,2015,512000000,-133000000
A,2016,793000000,-150000000
A,2017,889000000,-170000000
A,2018,1087000000,-191000000
AA,2015,875000000,
AA,2016,-311000000,
AA,2017,1224000000,
AA,2018,448000000,
AAC,2016,143000,
AAL,2009,930000000,
AAL,2010,1241000000,
AAL,2011,743000000,
AAL,2012,1285000000,
AAL,2013,675000000,
AAL,2014,3080000000,-144000000
AAL,2015,6249000000,-278000000
AAL,2016,6524000000,-224000000
AAL,2017,4744000000,-198000000
AAL,2018,3533000000,-186000000
AAMC,2013,-21825000,
AAMC,2014,-135359000,
AAMC,2015,-183237000,
AAMC,2016,-192000,
AAMC,2017,365000,
AAMC,2018,-2426000,
AAN,2009,193694000,-4649000
AAN,2010,49261000,-2929000
AAN,2011,307195000,-4073000
AAN,2012,59754000,-5843000
AAN,2013,308437000,-3875000
AAN,2014,-48962000,-7823000
AAN,2015,166761000,-6822000
AAN,2016,465444000,-7420000
AAN,2017,159135000,-7962000
AAN,2018,356498000,-6243000
AAOI,2012,-358000,
AAOI,2013,-6190000,
AAOI,2014,8530000,
AAOI,2015,-15212000,
AAOI,2016,57104000,
AAOI,2017,84284000,
AAOI,2018,14029000,
AAON,2010,32152000,-9168000
AAON,2011,26484000,-5935000
AAON,2012,51167000,-8840000
AAON,2013,53592000,-7428000
AAON,2014,53518000,-9656000
AAON,2015,55355000,-11857000
AAON,2016,63923000,-12676000
AAON,2017,57994000,-13663000
AAON,2018,54856000,-16728000
AAP,2009,699690000,-22803000
AAP,2010,666159000,-21051000
AAP,2011,828849000,-18554000
AAP,2012,685281000,-17596000
AAP,2013,545250000,-17574000
AAP,2014,708991000,-17580000
AAP,2015,702644000,-17649000
AAP,2016,523303000,-17738000
AAP,2017,600805000,-17854000
AAP,2018,811028000,-17819000
AAPL,2000,868000000,
AAPL,2001,185000000,
AAPL,2002,89000000,
AAPL,2003,290000000,
AAPL,2004,934000000,
AAPL,2005,2535000000,
AAPL,2006,2220000000,
AAPL,2007,5467000000,
AAPL,2008,9596000000,
AAPL,2009,10159000000,
AAPL,2010,18595000000,0
AAPL,2011,37529000000,0
AAPL,2012,50856000000,-2488000000
AAPL,2013,53666000000,-10564000000
AAPL,2014,59713000000,-11126000000
AAPL,2015,81266000000,-11561000000
AAPL,2016,66231000000,-12150000000
AAPL,2017,64225000000,-12769000000
AAPL,2018,77434000000,-13712000000
AAPL,2019,69391000000,-14119000000
AAWW,2010,280543000,
AAWW,2011,142958000,
AAWW,2012,255500000,
AAWW,2013,302093000,
AAWW,2014,273145000,
AAWW,2015,372887000,
AAWW,2016,232182000,
AAWW,2017,331719000,
AAWW,2018,425580000,
AAXN,2010,731525,
AAXN,2011,17266000,
AAXN,2012,26517000,
AAXN,2013,32426000,
AAXN,2014,35432000,
AAXN,2015,46445000,
AAXN,2016,17925000,
AAXN,2017,18490000,
AAXN,2018,63875000,
AB,2015,192789000,-192299000
AB,2016,169531000,-169731000
AB,2017,202410000,-202388000
AB,2018,279282000,-280722000
ABAX,2010,16369000,0
ABAX,2011,22835000,0
ABAX,2012,29197000,-22023000
ABAX,2013,35572000,0
ABAX,2014,36396000,-9006000
ABAX,2015,28056000,-9970000
ABAX,2016,33152000,-11715000
ABAX,2017,43516000,-13611000
ABBV,2012,6345000000,
ABBV,2013,6267000000,-2555000000
ABBV,2014,3549000000,-2661000000
ABBV,2015,7535000000,-3294000000
ABBV,2016,7041000000,-3717000000
ABBV,2017,9960000000,-4107000000
ABBV,2018,13427000000,-5580000000
ABC,2008,737069000,-48674000
ABC,2009,783763000,-62696000
ABC,2010,1108624000,-90622000
ABC,2011,1167948000,-117624000
ABC,2012,1305449000,-132760000
ABC,2013,788125000,-195716000
ABC,2014,1464654000,-214469000
ABC,2015,3922228000,-253919000
ABC,2016,3178497000,-288477000
ABC,2017,1504138000,-320270000
ABC,2018,1411388000,-333041000
ABC,2019,2344023000,-338974000
ABCD,2010,21259000,
ABCD,2011,43640000,
ABCD,2012,10329000,
ABCD,2013,45786000,
ABCD,2014,23643000,
ABCD,2015,36773000,
ABCD,2016,44479000,
ABCD,2017,49203000,
ABG,2010,9900000,
ABG,2011,-181200000,
ABG,2012,-20700000,
ABG,2013,50700000,
ABG,2014,84200000,
ABG,2015,155400000,
ABG,2016,142300000,
ABG,2017,266300000,
ABG,2018,10100000,
ABM,2009,140871000,-26727000
ABM,2010,149864000,-28152000
ABM,2011,159990000,-29744000
ABM,2012,150600000,-31300000
ABM,2013,135300000,-32900000
ABM,2014,120700000,-34600000
ABM,2015,145300000,-36000000
ABM,2016,83500000,-36900000
ABM,2017,5600000,-39500000
ABM,2018,295000000,-46000000
ABMC,2010,-53000,
ABMC,2011,449000,
ABMC,2012,236000,
ABMC,2013,9000,
ABMC,2014,98000,
ABMC,2015,230000,
ABMC,2016,241000,
ABMC,2017,181000,
ABMC,2018,-220000,
ABMD,2010,1574000,
ABMD,2011,3634000,
ABMD,2012,26399000,
ABMD,2013,23466000,
ABMD,2014,43290000,
ABMD,2015,76795000,
ABMD,2016,115116000,
ABMD,2017,192546000,
ABMD,2018,252197000,
ABT,2007,5183843000,-1959150000
ABT,2008,6994620000,-2174252000
ABT,2009,7275160000,-2414460000
ABT,2010,8735981000,-2671475000
ABT,2011,8970000000,-2938000000
ABT,2012,9314000000,-3183000000
ABT,2013,3324000000,-882000000
ABT,2014,3675000000,-1342000000
ABT,2015,2966000000,-1443000000
