ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income
A,2008,363000000,5774000000,815000000,693000000
A,2009,346000000,4481000000,7000000,-31000000
A,2010,347000000,5444000000,692000000,684000000
A,2011,347000000,6615000000,1032000000,1012000000
A,2012,348000000,6858000000,1043000000,1153000000
A,2013,341000000,3894000000,293000000,734000000
A,2014,333000000,4048000000,229000000,549000000
A,2015,333000000,4038000000,480000000,401000000
A,2016,326000000,4202000000,544000000,462000000
A,2017,322000000,4472000000,803000000,684000000
A,2018,321000000,4914000000,946000000,316000000
AA,2015,182471195,11199000000,-337000000,-863000000
AA,2016,183000000,9318000000,-162000000,-400000000
AA,2017,184000000,11652000000,1159000000,217000000
AA,2018,186000000,13403000000,1597000000,227000000
AAC,2016,22718117,279770000,-24025000,-21218000
AAL,2009,294000000,19917000000,-1752000000,-1468000000
AAL,2010,333000000,22170000000,-506000000,-471000000
AAL,2011,124985000,23979000000,-1979000000,-1979000000
AAL,2012,249490000,24855000000,-2445000000,-1876000000
AAL,2013,280213000,26743000000,-2180000000,-1834000000
AAL,2014,717456000,42650000000,3212000000,2882000000
AAL,2015,668393000,40990000000,4616000000,7610000000
AAL,2016,552308000,40180000000,4299000000,2676000000
AAL,2017,489164000,42207000000,3084000000,1919000000
AAL,2018,464236000,44541000000,1884000000,1412000000
AAMC,2013,2346993,72297000,34303000,-5293000
AAMC,2014,2261968,423298000,250628000,59679000
AAMC,2015,2202815,248099000,-48534000,-3290000
AAMC,2016,1752302,19991000,-3229000,-4935000
AAMC,2017,1570428,18160000,-6261000,-6969000
AAMC,2018,1611424,15926000,-10501000,-10876000
AAN,2009,121599000,1752787000,176439000,112601000
AAN,2010,81194000,1876338000,190786000,118376000
AAN,2011,78101000,2012578000,183377000,113767000
AAN,2012,75820000,2212827000,276855000,173043000
AAN,2013,75747000,2234631000,184960000,120666000
AAN,2014,72384000,2695033000,121704000,78233000
AAN,2015,72568000,3179756000,213120000,135709000
AAN,2016,72354000,3207716000,218422000,139283000
AAN,2017,70837000,3383708000,239577000,292536000
AAN,2018,69128000,3828923000,252204000,196210000
AAOI,2012,265576,63421000,-945000,-945000
AAOI,2013,9964955,78424000,-1406000,-1406000
AAOI,2014,14307477,130449000,4482000,4283000
AAOI,2015,15626753,189903000,11168000,10793000
AAOI,2016,17201731,260713000,21003000,31234000
AAOI,2017,19097355,382329000,84526000,73951000
AAOI,2018,19647000,267465000,-9778000,-2146000
AAON,2010,56695874,244552000,32693000,21894000
AAON,2011,55552167,266220000,21513000,13986000
AAON,2012,55237755,303114000,44317000,27449000
AAON,2013,55119150,321140000,56294000,37547000
AAON,2014,54809319,356322000,68246000,44158000
AAON,2015,54045841,358632000,71339000,45728000
AAON,2016,52924398,383977000,79991000,53376000
AAON,2017,52572496,405232000,74492000,54498000
AAON,2018,52284616,433947000,55939000,42572000
AAP,2009,94459000,5412623000,431655000,270373000
AAP,2010,86082000,5925203000,557055000,346053000
AAP,2011,75620000,6170462000,633236000,394682000
AAP,2012,73091000,6205003000,624074000,387670000
AAP,2013,72930000,6493814000,626398000,391758000
AAP,2014,72932000,9843861000,781394000,493825000
AAP,2015,73190000,9737018000,752888000,473398000
AAP,2016,73562000,9567679000,738835000,459622000
AAP,2017,73846000,9373784000,520259000,475505000
AAP,2018,73728000,9580554000,555264000,423847000
AAPL,2000,24208660000,7983000000,1092000000,786000000
AAPL,2001,24208660000,5363000000,-52000000,-37000000
AAPL,2002,24208660000,5742000000,87000000,65000000
AAPL,2003,24208660000,6207000000,92000000,68000000
AAPL,2004,24208660000,8279000000,370000000,266000000
AAPL,2005,24208660000,13931000000,1808000000,1328000000
AAPL,2006,24208660000,19315000000,2818000000,1989000000
AAPL,2007,24208660000,24006000000,5008000000,3496000000
AAPL,2008,24684576000,37491000000,8947000000,6119000000
AAPL,2009,25004448000,42905000000,12066000000,8235000000
AAPL,2010,25464908000,65225000000,18540000000,14013000000
AAPL,2011,25879224000,1.08E+11,34205000000,25922000000
AAPL,2012,26174904000,1.57E+11,55763000000,41733000000
AAPL,2013,25909280000,1.71E+11,50155000000,37037000000
AAPL,2014,24342288000,1.83E+11,53483000000,39510000000
AAPL,2015,23013684000,2.34E+11,72515000000,53394000000
AAPL,2016,21883280000,2.16E+11,61372000000,45687000000
AAPL,2017,20868968000,2.29E+11,64089000000,48351000000
AAPL,2018,19821508000,2.66E+11,72903000000,59531000000
AAPL,2019,18471336000,2.60E+11,65737000000,55256000000
AAWW,2010,25781000,1337774000,233110000,141810000
AAWW,2011,26227000,1398216000,156989000,96083000
AAWW,2012,26419000,1646032000,205275000,129927000
AAWW,2013,25541000,1656900000,117822000,93837000
AAWW,2014,25031000,1799198000,89549000,106757000
AAWW,2015,24833000,1822659000,-17220000,7286000
AAWW,2016,24843000,1839627000,89416000,41516000
AAWW,2017,25241000,2156460000,143372000,223473000
AAWW,2018,25542000,2677724000,309374000,270567000
AAXN,2010,62524446,86930019,-5113820,-4384435
AAXN,2011,59436000,90028000,-9629000,-7040000
AAXN,2012,53827000,114753000,22612000,14738000
AAXN,2013,51880000,137831000,28034000,18244000
AAXN,2014,52948000,164525000,32311000,19918000
AAXN,2015,53548000,197892000,35361000,19933000
AAXN,2016,52667000,268245000,31497000,17297000
AAXN,2017,52726000,343798000,15761000,5207000
AAXN,2018,56392000,420068000,28104000,29205000
AB,2015,,,210084000,185764000
AB,2016,,,239389000,216586000
AB,2017,,,232393000,207422000
AB,2018,,,270647000,242397000
ABAX,2010,22365000,143676000,23571000,14537000
ABAX,2011,22084000,156596000,20167000,13091000
ABAX,2012,21946000,180878000,48276000,27459000
ABAX,2013,22270000,162031000,25222000,14185000
ABAX,2014,22497000,202593000,33042000,27331000
ABAX,2015,22661000,218901000,47147000,31630000
ABAX,2016,22515000,227220000,51112000,32716000
ABAX,2017,22672000,244700000,43400000,27177000
ABBV,2012,1577000000,18380000000,5725000000,5275000000
ABBV,2013,1589000000,18790000000,5332000000,4128000000
ABBV,2014,1595000000,19960000000,2369000000,1774000000
ABBV,2015,1625000000,22859000000,6645000000,5144000000
ABBV,2016,1622000000,25638000000,7884000000,5953000000
ABBV,2017,1596000000,28216000000,7727000000,5309000000
