location,state_avg_viability,avg_roe,avg_rotc,avg_npm,avg_current_ratio,avg_debt_ebit,avg_div_payout_ratio,avg_eps_reps
ME,1,0.408644931,0.383619595,0.187483081,1.409973631,0.129922777,0,0.140083926
OR,0.37254902,0.214395655,0.193388016,0.078364075,2.140569323,0.946863079,0.116985533,0.304714278
MO,0.304878049,0.954315427,0.151205208,0.119187976,1.533347949,-1.073764563,0.981423641,5.151268706
MS,0.285714286,0.19162515,0.183833615,0.077520963,4.410199826,0.282156095,0.262781235,0.141406505
IA,0.219512195,0.213206186,0.112832565,-0.862191421,2.751710714,0.761147189,0.452493918,0.129832342
CA,0.210139002,-0.347135867,0.050057917,-2.102312053,2.453520138,-1.477755267,0.381385779,0.689710736
NJ,0.204204204,0.008719224,-0.012318255,-1.060374554,1.826293925,4.334604723,0.539282272,0.424584774
MN,0.203333333,0.180590723,0.164261797,0.1038521,1.91463059,5.895804641,0.366956902,0.253283087
IL,0.19025522,0.175664751,0.106631087,0.074002564,2.203424553,7.253519577,0.653694782,0.192139612
Unknown,0.1875,0.136553744,0.079694903,0.020160946,2.038166525,9.613769111,0.519396417,2.51214907
MA,0.181141439,0.086643451,-9.79E-04,-0.886444126,2.576290946,18.19035367,0.438990167,7.035957008
NY,0.17989418,0.557997682,0.101209222,-1.897333995,2.120800313,75.49394972,0.49103732,0.291098095
NC,0.171974522,-0.186980091,0.100880478,0.097125635,1.875059074,5.635484684,0.89742725,0.378761183
IN,0.1625,0.197096023,0.090371801,0.0782293,1.957072597,94.0130169,0.476086222,0.360742394
KS,0.16,0.173932218,0.102740888,0.096253755,1.890344772,3.320392889,0.319203906,0.48899823
NE,0.152542373,0.135248702,0.121162726,0.107530716,1.975805974,7.895614322,0.808338021,0.350670499
RI,0.151515152,0.1910833,0.127936152,0.062320396,2.12110231,3.553488341,0.377012561,0.119219186
ID,0.15,-0.041660043,-0.015671956,-0.110801783,1.964804839,4.71400098,0.101510897,-0.024720781
FL,0.149717514,-0.370637954,0.058687204,0.084394337,1.690056086,4.512090061,0.535162909,0.136013825
WI,0.148148148,0.169346163,0.063871814,-0.362142218,2.285202532,2.928954647,0.384826405,0.353379795
KY,0.144927536,0.233844815,0.151972377,-4.051854545,1.800160637,7.413390161,0.430382334,3.073594029
AL,0.142857143,0.110793461,0.099407929,0.053229217,2.176342967,-26.92925871,8.970661262,0.156900321
PA,0.138743455,0.1874728,0.058652983,0.053579558,2.065149545,34.98213503,0.538277448,-0.117816047
GA,0.137071651,4.855661936,0.076450674,0.048913942,1.65602411,-2.32865581,0.283498891,0.165881432
DE,0.134615385,0.135745403,0.069640204,0.106066264,2.326570271,-101.052631,0.152689368,-0.139064653
TX,0.13225058,0.25468244,0.073999079,0.024463011,1.858551323,11.70873759,1.236113876,0.52626743
CT,0.131578947,0.109633451,0.091909162,0.105262719,1.741425508,6.376773183,0.481786012,0.216162595
AZ,0.125925926,-0.115738099,0.072633761,-0.057239292,1.996360186,3.725325356,0.220882114,0.031012122
DC,0.114285714,0.118410785,0.074996916,0.110555271,2.626163036,5.019348983,3.141573954,-0.223173683
AK,0.111111111,0.100411496,0.057961056,0.09373351,1.101804631,-73.59477876,9.335147554,-1.705796456
OK,0.11023622,0.058292087,0.034699324,0.022188318,1.171970556,6.16335306,0.821384803,1.433980747
WA,0.104651163,0.172940629,-0.051861862,-0.443065834,1.686522384,8.833984557,0.322233305,0.480851851
CO,0.102040816,0.094997836,-0.008275564,0.007475981,1.916731693,34.73416042,0.230162318,1.14307986
MD,0.100775194,-2.968161553,-0.221333251,-1.42884882,1.840872835,38.88316276,0.487026465,0.294515934
NV,0.1,0.474873571,0.044475029,0.026608577,1.931336214,12.0588026,0.628155255,0.57238168
SC,0.090909091,0.503065311,0.054785361,0.024025892,1.800484615,-1.65323234,0.312728323,1.372185376
VA,0.090452261,0.180119622,0.264944148,0.098813942,1.650033887,2.242048664,0.722349938,-0.687401835
LA,0.085714286,0.696238699,0.089614747,0.006781665,1.625065395,3.949672934,0.633765629,-6.609931801
OH,0.084183673,0.162866116,0.07346511,0.068141013,1.806599852,3.163362967,1.144974549,0.07836715
MI,0.073394495,0.173541074,0.196604686,0.068119105,1.776970214,2.352648552,0.686191139,0.253488991
UT,0.066666667,0.010020408,0.028678616,0.087587607,1.629814975,7.953735303,0.471827279,0.163693553
AR,0.06,0.220615598,0.140326954,0.045652077,2.019345922,2.826178044,0.256117855,0.122200273
TN,0.0390625,-8.59E-04,0.133717677,0.066899233,1.64293353,4.366814225,0.391074773,1.271736159
NH,0,0.135661219,0.066534557,0.093557309,1.033102508,9.105400291,0.681098346,0.52641953
ND,0,0.001657177,0.002910344,4.01E-04,1.674674743,-1.332189585,0,0.022517927
PR,0,0.018947166,0.018902604,0.013708059,11.58700161,-0.028020699,0,-0.002686775
HI,0,0.069970429,0.078784006,0.065404408,1.170989539,15.91778587,0.515244228,0.245289189
